Gender,Age,Waist,TotalHeight,source
1.0,30.0,14.0,52.0,Mendeley
1.0,28.0,21.0,56.0,Mendeley
2.0,27.0,10.0,53.0,Mendeley
1.0,29.0,19.0,45.0,Mendeley
2.0,28.0,11.0,47.0,Mendeley
2.0,22.0,16.0,60.0,Mendeley
2.0,18.0,12.0,49.0,Mendeley
2.0,26.0,23.0,58.0,Mendeley
1.0,23.0,22.0,40.0,Mendeley
1.0,31.0,91.0,55.0,Mendeley
1.0,29.0,21.0,50.0,Mendeley
1.0,35.0,18.0,49.0,Mendeley
2.0,29.0,20.0,59.0,Mendeley
1.0,30.0,24.0,47.0,Mendeley
2.0,20.0,18.0,51.0,Mendeley
2.0,27.0,20.0,57.0,Mendeley
2.0,24.0,25.0,60.0,Mendeley
1.0,30.0,19.0,59.0,Mendeley
1.0,35.0,17.0,48.0,Mendeley
1.0,29.0,18.0,42.0,Mendeley
1.0,35.0,19.0,49.0,Mendeley
2.0,29.0,20.0,44.0,Mendeley
2.0,27.0,22.0,45.0,Mendeley
1.0,26.0,24.0,54.0,Mendeley
2.0,24.0,16.0,57.0,Mendeley
1.0,20.0,15.0,60.0,Mendeley
1.0,30.0,18.0,57.0,Mendeley
1.0,35.0,17.0,58.0,Mendeley
1.0,31.0,22.0,45.0,Mendeley
1.0,20.0,19.0,51.0,Mendeley
1.0,24.0,18.0,31.0,Mendeley
2.0,27.0,18.0,30.0,Mendeley
1.0,29.0,18.0,33.0,Mendeley
1.0,27.0,19.0,60.0,Mendeley
2.0,18.0,20.0,45.0,Mendeley
2.0,19.0,13.0,47.0,Mendeley
2.0,20.0,11.0,48.0,Mendeley
2.0,24.0,11.0,40.0,Mendeley
1.0,22.0,12.0,48.0,Mendeley
1.0,24.0,13.0,48.0,Mendeley
2.0,25.0,13.0,60.0,Mendeley
1.0,21.0,18.0,55.0,Mendeley
1.0,25.0,18.0,51.0,Mendeley
1.0,22.0,14.0,52.0,Mendeley
2.0,21.0,14.0,53.0,Mendeley
2.0,19.0,14.0,59.0,Mendeley
2.0,17.0,13.0,50.0,Mendeley
1.0,18.0,15.0,50.0,Mendeley
1.0,25.0,16.0,39.0,Mendeley
2.0,30.0,17.0,57.0,Mendeley
2.0,29.0,20.0,44.0,Mendeley
2.0,28.0,21.0,47.0,Mendeley
1.0,30.0,21.0,57.0,Mendeley
